date,harga_beras_kateng,harga_beras_nasional,global_price,lag_nasional_1,lag_global_1,lag_nasional_3,lag_global_3,lag_nasional_7,lag_global_7,lag_nasional_30,lag_global_30,rolling_nasional_7,rolling_global_7,rolling_nasional_14,rolling_global_14,rolling_nasional_30,rolling_global_30
2022-01-14,15728.57142857143,12152.380952380952,427.0,12176.190476190475,427.0,12100.0,427.0,11700.0,427.0,11490.90909090909,400.0,12021.938775510203,427.0,11766.488868274582,427.0,11495.876623376624,412.6
2022-01-15,15642.857142857143,12128.57142857143,427.0,12152.380952380952,427.0,12200.0,427.0,11700.0,427.0,11463.636363636364,400.0,12083.163265306122,427.0,11845.153061224491,427.0,11518.041125541124,413.5
2022-01-16,15557.142857142857,12104.761904761905,427.0,12128.57142857143,427.0,12176.190476190475,427.0,11850.0,427.0,11436.363636363636,400.0,12119.557823129251,427.0,11924.06462585034,427.0,11540.321067821067,414.4
2022-01-17,15471.42857142857,12080.952380952382,427.0,12104.761904761905,427.0,12152.380952380952,427.0,11975.0,427.0,11409.09090909091,400.0,12134.69387755102,427.0,11947.704081632652,427.0,11562.71645021645,415.3
2022-01-18,15385.714285714286,12057.142857142857,427.0,12080.952380952382,427.0,12128.57142857143,427.0,12100.0,427.0,11381.818181818182,400.0,12128.57142857143,427.0,11973.214285714286,427.0,11585.227272727272,416.2
2022-01-19,15300.0,12033.333333333334,427.0,12057.142857142857,427.0,12104.761904761905,427.0,12200.0,427.0,11354.545454545454,400.0,12104.761904761905,427.0,11997.023809523811,427.0,11607.853535353534,417.1
2022-01-20,15214.285714285714,12009.52380952381,427.0,12033.333333333334,427.0,12080.952380952382,427.0,12176.190476190475,427.0,11327.272727272728,400.0,12080.952380952382,427.0,12019.132653061224,427.0,11630.595238095239,418.0
2022-01-21,15128.57142857143,11985.714285714286,427.0,12009.52380952381,427.0,12057.142857142857,427.0,12152.380952380952,427.0,11300.0,400.0,12057.142857142857,427.0,12039.54081632653,427.0,11653.45238095238,418.9
2022-01-22,15042.857142857143,11961.90476190476,427.0,11985.714285714286,427.0,12033.333333333334,427.0,12128.57142857143,427.0,11272.727272727272,400.0,12033.333333333332,427.0,12058.248299319728,427.0,11676.424963924965,419.8
2022-01-23,14957.142857142857,11938.09523809524,427.0,11961.90476190476,427.0,12009.52380952381,427.0,12104.761904761905,427.0,11245.454545454546,400.0,12009.523809523811,427.0,12064.54081632653,427.0,11699.512987012986,420.7
2022-01-24,14871.42857142857,11914.285714285714,427.0,11938.09523809524,427.0,11985.714285714286,427.0,12080.952380952382,427.0,11218.181818181818,400.0,11985.714285714286,427.0,12060.204081632652,427.0,11722.71645021645,421.6
2022-01-25,14785.714285714286,11890.47619047619,427.0,11914.285714285714,427.0,11961.90476190476,427.0,12057.142857142857,427.0,11190.90909090909,400.0,11961.904761904761,427.0,12045.238095238095,427.0,11746.035353535353,422.5
2022-01-26,14700.0,11866.666666666666,427.0,11890.47619047619,427.0,11938.09523809524,427.0,12033.333333333334,427.0,11163.636363636364,400.0,11938.095238095239,427.0,12021.42857142857,427.0,11769.469696969696,423.4
2022-01-27,14614.285714285714,11842.857142857143,427.0,11866.666666666666,427.0,11914.285714285714,427.0,12009.52380952381,427.0,11136.363636363636,400.0,11914.285714285714,427.0,11997.619047619048,427.0,11793.019480519482,424.3
2022-01-28,14528.571428571428,11819.047619047618,427.0,11842.857142857143,427.0,11890.47619047619,427.0,11985.714285714286,427.0,11109.09090909091,400.0,11890.476190476189,427.0,11973.809523809525,427.0,11816.684704184703,425.2
2022-01-29,14442.857142857143,11795.238095238095,427.0,11819.047619047618,427.0,11866.666666666666,427.0,11961.90476190476,427.0,11081.818181818182,400.0,11866.666666666668,427.0,11950.0,427.0,11840.465367965367,426.1
2022-01-30,14357.142857142857,11771.42857142857,427.0,11795.238095238095,427.0,11842.857142857143,427.0,11938.09523809524,427.0,11054.545454545454,400.0,11842.857142857143,427.0,11926.190476190475,427.0,11864.361471861472,427.0
2022-01-31,14271.42857142857,11747.619047619048,427.0,11771.42857142857,427.0,11819.047619047618,427.0,11914.285714285714,427.0,11027.272727272728,427.0,11819.047619047618,427.0,11902.380952380952,427.0,11888.373015873016,427.0
2022-02-01,14185.714285714286,11723.809523809525,427.0,11747.619047619048,427.0,11795.238095238095,427.0,11890.47619047619,427.0,11000.0,427.0,11795.238095238095,427.0,11878.57142857143,427.0,11912.5,427.0
2022-02-02,14100.0,11700.0,427.0,11723.809523809525,427.0,11771.42857142857,427.0,11866.666666666666,427.0,11750.0,427.0,11771.42857142857,427.0,11854.761904761905,427.0,11910.833333333334,427.0
2022-02-03,14150.0,11700.0,427.0,11700.0,427.0,11747.619047619048,427.0,11842.857142857143,427.0,11700.0,427.0,11751.020408163266,427.0,11832.653061224491,427.0,11910.833333333334,427.0
2022-02-04,14100.0,11700.0,427.0,11700.0,427.0,11723.809523809525,427.0,11819.047619047618,427.0,11700.0,427.0,11734.013605442176,427.0,11812.244897959185,427.0,11910.833333333334,427.0
2022-02-05,14050.0,11700.0,427.0,11700.0,427.0,11700.0,427.0,11795.238095238095,427.0,11700.0,427.0,11720.408163265307,427.0,11793.537414965987,427.0,11910.833333333334,427.0
2022-02-06,14000.0,11700.0,427.0,11700.0,427.0,11700.0,427.0,11771.42857142857,427.0,11700.0,427.0,11710.204081632653,427.0,11776.530612244898,427.0,11910.833333333334,427.0
2022-02-07,14150.0,11700.0,427.0,11700.0,427.0,11700.0,427.0,11747.619047619048,427.0,11700.0,427.0,11703.401360544218,427.0,11761.224489795919,427.0,11910.833333333334,427.0
2022-02-08,14300.0,11700.0,427.0,11700.0,427.0,11700.0,427.0,11723.809523809525,427.0,11850.0,427.0,11700.0,427.0,11747.619047619048,427.0,11905.833333333334,427.0
2022-02-09,14900.0,11850.0,427.0,11700.0,427.0,11700.0,427.0,11700.0,427.0,11975.0,427.0,11721.42857142857,427.0,11746.42857142857,427.0,11901.666666666666,427.0
2022-02-10,15000.0,11975.0,427.0,11850.0,427.0,11700.0,427.0,11700.0,427.0,12100.0,427.0,11760.714285714286,427.0,11755.867346938776,427.0,11897.5,427.0
2022-02-11,15100.0,12100.0,427.0,11975.0,427.0,11700.0,427.0,11700.0,427.0,12200.0,427.0,11817.857142857143,427.0,11775.93537414966,427.0,11894.166666666666,427.0
2022-02-12,15900.0,12250.0,427.0,12100.0,427.0,11850.0,427.0,11700.0,427.0,12176.190476190475,427.0,11896.42857142857,427.0,11808.418367346938,427.0,11896.626984126984,427.0
2022-02-13,15779.411764705885,12214.70588235294,427.0,12250.0,427.0,11975.0,427.0,11700.0,427.0,12152.380952380952,427.0,11969.957983193277,427.0,11840.081032412967,427.0,11898.704481792718,427.0
2022-02-14,15658.823529411764,12179.411764705885,427.0,12214.70588235294,427.0,12100.0,427.0,11700.0,427.0,12128.57142857143,427.0,12038.44537815126,427.0,11870.92336934774,427.0,11900.399159663864,427.0
2022-02-15,15538.235294117649,12144.117647058823,427.0,12179.411764705885,427.0,12250.0,427.0,11700.0,427.0,12104.761904761905,427.0,12101.890756302522,427.0,11900.94537815126,427.0,11901.71101774043,427.0
2022-02-16,15417.64705882353,12108.823529411764,427.0,12144.117647058823,427.0,12214.70588235294,427.0,11850.0,427.0,12080.952380952382,427.0,12138.865546218487,427.0,11930.147058823528,427.0,11902.640056022408,427.0
2022-02-17,15297.058823529413,12073.529411764706,427.0,12108.823529411764,427.0,12179.411764705885,427.0,11975.0,427.0,12057.142857142857,427.0,12152.94117647059,427.0,11956.827731092437,427.0,11903.186274509802,427.0
2022-02-18,15176.470588235294,12038.235294117649,427.0,12073.529411764706,427.0,12144.117647058823,427.0,12100.0,427.0,12033.333333333334,427.0,12144.117647058823,427.0,11980.987394957983,427.0,11903.349673202614,427.0
2022-02-19,15055.882352941177,12002.941176470587,427.0,12038.235294117649,427.0,12108.823529411764,427.0,12250.0,427.0,12009.52380952381,427.0,12108.823529411764,427.0,12002.626050420167,427.0,11903.13025210084,427.0
2022-02-20,14935.29411764706,11967.64705882353,427.0,12002.941176470587,427.0,12073.529411764706,427.0,12214.70588235294,427.0,11985.714285714286,427.0,12073.529411764708,427.0,12021.74369747899,427.0,11902.528011204482,427.0
2022-02-21,14814.70588235294,11932.35294117647,427.0,11967.64705882353,427.0,12038.235294117649,427.0,12179.411764705885,427.0,11961.90476190476,427.0,12038.235294117647,427.0,12038.340336134454,427.0,11901.542950513538,427.0
2022-02-22,14694.117647058823,11897.058823529413,427.0,11932.35294117647,427.0,12002.941176470587,427.0,12144.117647058823,427.0,11938.09523809524,427.0,12002.941176470587,427.0,12052.415966386556,427.0,11900.175070028012,427.0
2022-02-23,14573.529411764706,11861.764705882351,427.0,11897.058823529413,427.0,11967.64705882353,427.0,12108.823529411764,427.0,11914.285714285714,427.0,11967.647058823528,427.0,12053.25630252101,427.0,11898.424369747898,427.0
2022-02-24,14452.941176470587,11826.470588235294,427.0,11861.764705882351,427.0,11932.35294117647,427.0,12073.529411764706,427.0,11890.47619047619,427.0,11932.352941176472,427.0,12042.647058823528,427.0,11896.290849673203,427.0
2022-02-25,14332.35294117647,11791.176470588236,427.0,11826.470588235294,427.0,11897.058823529413,427.0,12038.235294117649,427.0,11866.666666666666,427.0,11897.058823529413,427.0,12020.588235294117,427.0,11893.774509803921,427.0
2022-02-26,14211.764705882351,11755.882352941177,427.0,11791.176470588236,427.0,11861.764705882351,427.0,12002.941176470587,427.0,11842.857142857143,427.0,11861.764705882353,427.0,11985.29411764706,427.0,11890.875350140055,427.0
2022-02-27,14091.176470588236,11720.588235294115,427.0,11755.882352941177,427.0,11826.470588235294,427.0,11967.64705882353,427.0,11819.047619047618,427.0,11826.470588235292,427.0,11950.0,427.0,11887.593370681607,427.0
2022-02-28,13970.588235294115,11685.29411764706,427.0,11720.588235294115,427.0,11791.176470588236,427.0,11932.35294117647,427.0,11795.238095238095,427.0,11791.176470588236,427.0,11914.70588235294,427.0,11883.928571428572,427.0
2022-03-01,13850.0,11650.0,422.0,11685.29411764706,427.0,11755.882352941177,427.0,11897.058823529413,427.0,11771.42857142857,427.0,11755.882352941177,426.2857142857143,11879.411764705883,426.64285714285717,11879.880952380952,426.8333333333333
2022-03-02,14100.0,11700.0,422.0,11650.0,422.0,11720.588235294115,427.0,11861.764705882351,427.0,11747.619047619048,427.0,11732.773109243697,425.57142857142856,11850.210084033615,426.2857142857143,11878.29365079365,426.6666666666667
2022-03-03,14075.0,11700.0,422.0,11700.0,422.0,11685.29411764706,427.0,11826.470588235294,427.0,11723.809523809525,427.0,11714.70588235294,424.85714285714283,11823.529411764704,425.92857142857144,11877.5,426.5
2022-03-04,14050.0,11700.0,422.0,11700.0,422.0,11650.0,422.0,11791.176470588236,427.0,11700.0,427.0,11701.680672268907,424.14285714285717,11799.369747899158,425.57142857142856,11877.5,426.3333333333333
2022-03-05,14025.0,11700.0,422.0,11700.0,422.0,11700.0,422.0,11755.882352941177,427.0,11700.0,427.0,11693.697478991597,423.42857142857144,11777.731092436976,425.2142857142857,11877.5,426.1666666666667
2022-03-06,14000.0,11700.0,422.0,11700.0,422.0,11700.0,422.0,11720.588235294115,427.0,11700.0,427.0,11690.75630252101,422.7142857142857,11758.613445378152,424.85714285714283,11877.5,426.0
