harga_beras_kateng,date,harga_beras_nasional,lag_nasional_1,rolling_nasional_7,lag_nasional_3,rolling_nasional_14,rolling_global_30,lag_global_30,rolling_global_14,lag_global_7,global_price
18186.11111111111,2024-02-13,15119.444444444443,15150.0,15184.920634920634,15200.0,15147.902494331063,644.4,660.0,626.5714285714286,624.0,624.0
18222.222222222223,2024-02-14,15088.888888888889,15119.444444444443,15161.90476190476,15175.0,15180.952380952382,643.2,660.0,624.0,624.0,624.0
18258.33333333333,2024-02-15,15058.333333333334,15088.888888888889,15134.523809523807,15150.0,15213.690476190475,642.0,660.0,624.0,624.0,624.0
18294.444444444445,2024-02-16,15027.777777777776,15058.333333333334,15117.063492063491,15119.444444444443,15222.81746031746,640.8,660.0,624.0,624.0,624.0
18330.555555555555,2024-02-17,14997.222222222224,15027.777777777776,15088.095238095237,15088.888888888889,15201.190476190475,639.6,660.0,624.0,624.0,624.0
18366.666666666668,2024-02-18,14966.666666666666,14997.222222222224,15058.333333333332,15058.333333333334,15148.809523809525,638.4,660.0,624.0,624.0,624.0
18402.777777777777,2024-02-19,14936.111111111111,14966.666666666666,15027.777777777776,15027.777777777776,15119.246031746032,637.2,660.0,624.0,624.0,624.0
18438.88888888889,2024-02-20,14905.555555555557,14936.111111111111,14997.222222222224,14997.222222222224,15091.07142857143,636.0,660.0,624.0,624.0,624.0
18475.0,2024-02-21,14875.0,14905.555555555557,14966.666666666668,14966.666666666666,15064.285714285714,634.8,660.0,624.0,624.0,624.0
18511.11111111111,2024-02-22,14844.444444444443,14875.0,14936.111111111111,14936.111111111111,15035.31746031746,633.6,660.0,624.0,624.0,624.0
18547.222222222223,2024-02-23,14813.888888888889,14844.444444444443,14905.555555555557,14905.555555555557,15011.309523809525,632.4,660.0,624.0,624.0,624.0
18583.33333333333,2024-02-24,14783.333333333334,14813.888888888889,14875.0,14875.0,14981.547619047618,631.2,660.0,624.0,624.0,624.0
18619.444444444445,2024-02-25,14752.777777777776,14783.333333333334,14844.444444444443,14844.444444444443,14951.388888888889,630.0,660.0,624.0,624.0,624.0
18655.555555555555,2024-02-26,14722.222222222224,14752.777777777776,14813.888888888889,14813.888888888889,14920.833333333332,628.8,660.0,624.0,624.0,624.0
18691.666666666668,2024-02-27,14691.666666666666,14722.222222222224,14783.333333333332,14783.333333333334,14890.27777777778,627.6,660.0,624.0,624.0,624.0
18727.777777777777,2024-02-28,14661.111111111111,14691.666666666666,14752.777777777776,14752.777777777776,14859.72222222222,626.4,660.0,624.0,624.0,624.0
18763.88888888889,2024-02-29,14630.555555555557,14661.111111111111,14722.222222222224,14722.222222222224,14829.166666666668,625.2,660.0,624.0,624.0,624.0
18800.0,2024-03-01,14600.0,14630.555555555557,14691.666666666668,14691.666666666666,14798.611111111111,623.6333333333333,660.0,623.2142857142857,624.0,613.0
19050.0,2024-03-02,14966.666666666666,14600.0,14717.857142857143,14661.111111111111,14796.42857142857,623.2666666666667,624.0,622.4285714285714,624.0,613.0
19300.0,2024-03-03,15333.333333333334,14966.666666666666,14800.793650793652,14630.555555555557,14822.619047619048,622.9,624.0,621.6428571428571,624.0,613.0
19550.0,2024-03-04,15700.0,15333.333333333334,14940.476190476193,14600.0,14877.18253968254,622.5333333333333,624.0,620.8571428571429,624.0,613.0
19300.0,2024-03-05,15350.0,15700.0,15034.523809523813,14966.666666666666,14908.92857142857,622.1666666666666,624.0,620.0714285714286,624.0,613.0
