date,harga_beras_kateng,harga_beras_nasional,global_price
2021-05-27,14090.47619047619,11714.285714285714,493.0
2021-05-28,14102.380952380952,11721.42857142857,493.0
2021-05-29,14114.285714285714,11728.57142857143,493.0
2021-05-30,14126.190476190475,11735.714285714286,493.0
2021-05-31,14138.09523809524,11742.857142857143,493.0
2021-06-01,14150.0,11750.0,493.0
2021-06-02,14166.666666666666,11733.333333333334,493.0
2021-06-03,14183.333333333334,11716.666666666666,493.0
2021-06-04,14200.0,11700.0,493.0
2021-06-05,14200.0,11650.0,493.0
2021-06-06,14175.0,11650.0,493.0
2021-06-07,14150.0,11650.0,493.0
2021-06-08,14100.0,11600.0,493.0
2021-06-09,14000.0,11600.0,493.0
2021-06-10,13900.0,11600.0,493.0
2021-06-11,13900.0,11600.0,493.0
2021-06-12,13900.0,11600.0,493.0
2021-06-13,13913.157894736842,11607.894736842103,493.0
2021-06-14,13926.315789473683,11615.78947368421,493.0
2021-06-15,13939.473684210529,11623.684210526317,493.0
2021-06-16,13952.631578947368,11631.578947368422,493.0
2021-06-17,13965.78947368421,11639.473684210529,493.0
2021-06-18,13978.947368421052,11647.368421052632,493.0
2021-06-19,13992.105263157897,11655.263157894737,493.0
2021-06-20,14005.263157894737,11663.157894736842,493.0
2021-06-21,14018.421052631578,11671.052631578948,493.0
2021-06-22,14031.578947368422,11678.947368421052,493.0
2021-06-23,14044.736842105263,11686.842105263158,493.0
2021-06-24,14057.894736842103,11694.736842105263,493.0
2021-06-25,14071.052631578948,11702.631578947368,493.0
2021-06-26,14084.21052631579,11710.526315789471,493.0
2021-06-27,14097.368421052632,11718.421052631578,493.0
2021-06-28,14110.526315789471,11726.315789473683,493.0
2021-06-29,14123.684210526317,11734.21052631579,493.0
2021-06-30,14136.842105263158,11742.105263157897,493.0
2021-07-01,14150.0,11750.0,414.0
2021-07-02,14166.666666666666,11733.333333333334,414.0
2021-07-03,14183.333333333334,11716.666666666666,414.0
2021-07-04,14200.0,11700.0,414.0
2021-07-05,14200.0,11650.0,414.0
2021-07-06,14200.0,11650.0,414.0
2021-07-07,14150.0,11650.0,414.0
2021-07-08,14075.0,11625.0,414.0
2021-07-09,14000.0,11600.0,414.0
2021-07-10,13900.0,11600.0,414.0
2021-07-11,13900.0,11600.0,414.0
2021-07-12,13900.0,11600.0,414.0
2021-07-13,13912.5,11607.5,414.0
2021-07-14,13925.0,11615.0,414.0
2021-07-15,13937.5,11622.5,414.0
2021-07-16,13950.0,11630.0,414.0
2021-07-17,13962.5,11637.5,414.0
2021-07-18,13975.0,11645.0,414.0
2021-07-19,13987.5,11652.5,414.0
2021-07-20,14000.0,11660.0,414.0
2021-07-21,14012.5,11667.5,414.0
2021-07-22,14025.0,11675.0,414.0
2021-07-23,14037.5,11682.5,414.0
2021-07-24,14050.0,11690.0,414.0
2021-07-25,14062.5,11697.5,414.0
2021-07-26,14075.0,11705.0,414.0
2021-07-27,14087.5,11712.5,414.0
2021-07-28,14100.0,11720.0,414.0
2021-07-29,14112.5,11727.5,414.0
2021-07-30,14125.0,11735.0,414.0
2021-07-31,14137.5,11742.5,414.0
2021-08-01,14150.0,11750.0,403.0
2021-08-02,14050.0,11750.0,403.0
2021-08-03,14150.0,11750.0,403.0
2021-08-04,14200.0,11700.0,403.0
2021-08-05,14200.0,11675.0,403.0
2021-08-06,14200.0,11650.0,403.0
2021-08-07,14150.0,11650.0,403.0
2021-08-08,14075.0,11625.0,403.0
2021-08-09,14000.0,11600.0,403.0
2021-08-10,13900.0,11600.0,403.0
2021-08-11,13900.0,11600.0,403.0
2021-08-12,13900.0,11600.0,403.0
2021-08-13,13911.90476190476,11607.142857142857,403.0
2021-08-14,13923.809523809525,11614.285714285714,403.0
2021-08-15,13935.714285714286,11621.42857142857,403.0
2021-08-16,13947.619047619048,11628.57142857143,403.0
2021-08-17,13959.52380952381,11635.714285714286,403.0
2021-08-18,13971.42857142857,11642.857142857143,403.0
2021-08-19,13983.333333333334,11650.0,403.0
2021-08-20,13995.238095238095,11657.142857142857,403.0
2021-08-21,14007.142857142857,11664.285714285714,403.0
2021-08-22,14019.047619047618,11671.42857142857,403.0
2021-08-23,14030.952380952382,11678.57142857143,403.0
2021-08-24,14042.857142857143,11685.714285714286,403.0
2021-08-25,14054.761904761905,11692.857142857143,403.0
2021-08-26,14066.666666666666,11700.0,403.0
2021-08-27,14078.57142857143,11707.142857142857,403.0
2021-08-28,14090.47619047619,11714.285714285714,403.0
2021-08-29,14102.380952380952,11721.42857142857,403.0
2021-08-30,14114.285714285714,11728.57142857143,403.0
2021-08-31,14126.190476190475,11735.714285714286,403.0
2021-09-01,14138.09523809524,11742.857142857143,400.0
2021-09-02,14150.0,11750.0,400.0
2021-09-03,14150.0,11750.0,400.0
2021-09-04,14200.0,11700.0,400.0
2021-09-05,14175.0,11675.0,400.0
2021-09-06,14150.0,11650.0,400.0
2021-09-07,14150.0,11650.0,400.0
2021-09-08,14100.0,11600.0,400.0
2021-09-09,14000.0,11600.0,400.0
2021-09-10,13950.0,11600.0,400.0
2021-09-11,13900.0,11600.0,400.0
2021-09-12,13900.0,11600.0,400.0
2021-09-13,13912.5,11607.5,400.0
2021-09-14,13925.0,11615.0,400.0
2021-09-15,13937.5,11622.5,400.0
2021-09-16,13950.0,11630.0,400.0
2021-09-17,13962.5,11637.5,400.0
2021-09-18,13975.0,11645.0,400.0
2021-09-19,13987.5,11652.5,400.0
2021-09-20,14000.0,11660.0,400.0
2021-09-21,14012.5,11667.5,400.0
2021-09-22,14025.0,11675.0,400.0
2021-09-23,14037.5,11682.5,400.0
2021-09-24,14050.0,11690.0,400.0
2021-09-25,14062.5,11697.5,400.0
2021-09-26,14075.0,11705.0,400.0
2021-09-27,14087.5,11712.5,400.0
2021-09-28,14100.0,11720.0,400.0
2021-09-29,14112.5,11727.5,400.0
2021-09-30,14125.0,11735.0,400.0
2021-10-01,14137.5,11742.5,401.0
2021-10-02,14150.0,11750.0,401.0
2021-10-03,14150.0,11750.0,401.0
2021-10-04,14175.0,11700.0,401.0
2021-10-05,14200.0,11650.0,401.0
2021-10-06,14150.0,11650.0,401.0
2021-10-07,14125.0,11625.0,401.0
2021-10-08,14100.0,11600.0,401.0
2021-10-09,14000.0,11600.0,401.0
2021-10-10,13950.0,11600.0,401.0
2021-10-11,13900.0,11600.0,401.0
2021-10-12,13900.0,11600.0,401.0
2021-10-13,13912.5,11607.5,401.0
2021-10-14,13925.0,11615.0,401.0
2021-10-15,13937.5,11622.5,401.0
2021-10-16,13950.0,11630.0,401.0
2021-10-17,13962.5,11637.5,401.0
2021-10-18,13975.0,11645.0,401.0
2021-10-19,13987.5,11652.5,401.0
2021-10-20,14000.0,11660.0,401.0
2021-10-21,14012.5,11667.5,401.0
2021-10-22,14025.0,11675.0,401.0
2021-10-23,14037.5,11682.5,401.0
2021-10-24,14050.0,11690.0,401.0
2021-10-25,14062.5,11697.5,401.0
2021-10-26,14075.0,11705.0,401.0
2021-10-27,14087.5,11712.5,401.0
2021-10-28,14100.0,11720.0,401.0
2021-10-29,14112.5,11727.5,401.0
2021-10-30,14125.0,11735.0,401.0
2021-10-31,14137.5,11742.5,401.0
2021-11-01,14150.0,11750.0,400.0
2021-11-02,14150.0,11750.0,400.0
2021-11-03,14166.666666666666,12400.0,400.0
2021-11-04,14183.333333333334,12025.0,400.0
2021-11-05,14200.0,11650.0,400.0
2021-11-06,14150.0,11650.0,400.0
2021-11-07,14087.5,11450.0,400.0
2021-11-08,14025.0,11250.0,400.0
2021-11-09,13962.5,11425.0,400.0
2021-11-10,13900.0,11600.0,400.0
2021-11-11,13900.0,11600.0,400.0
2021-11-12,13912.5,11607.5,400.0
2021-11-13,13925.0,11615.0,400.0
2021-11-14,13937.5,11622.5,400.0
2021-11-15,13950.0,11630.0,400.0
2021-11-16,13962.5,11637.5,400.0
2021-11-17,13975.0,11645.0,400.0
2021-11-18,13987.5,11652.5,400.0
2021-11-19,14000.0,11660.0,400.0
2021-11-20,14012.5,11667.5,400.0
2021-11-21,14025.0,11675.0,400.0
2021-11-22,14037.5,11682.5,400.0
2021-11-23,14050.0,11690.0,400.0
2021-11-24,14062.5,11697.5,400.0
2021-11-25,14075.0,11705.0,400.0
2021-11-26,14087.5,11712.5,400.0
2021-11-27,14100.0,11720.0,400.0
2021-11-28,14112.5,11727.5,400.0
2021-11-29,14125.0,11735.0,400.0
2021-11-30,14137.5,11742.5,400.0
2021-12-01,14150.0,11750.0,400.0
2021-12-02,14150.0,11550.0,400.0
2021-12-03,14150.0,11750.0,400.0
2021-12-04,14150.0,11700.0,400.0
2021-12-05,14150.0,11683.333333333334,400.0
2021-12-06,14150.0,11666.666666666666,400.0
2021-12-07,14150.0,11650.0,400.0
2021-12-08,14100.0,11600.0,400.0
2021-12-09,14000.0,11600.0,400.0
2021-12-10,13900.0,11600.0,400.0
2021-12-11,13900.0,11600.0,400.0
2021-12-12,13910.869565217392,11572.727272727272,400.0
2021-12-13,13921.739130434782,11545.454545454546,400.0
2021-12-14,13932.608695652174,11518.181818181818,400.0
2021-12-15,13943.478260869566,11490.90909090909,400.0
2021-12-16,13954.347826086956,11463.636363636364,400.0
2021-12-17,13965.217391304348,11436.363636363636,400.0
2021-12-18,13976.08695652174,11409.09090909091,400.0
2021-12-19,13986.95652173913,11381.818181818182,400.0
2021-12-20,13997.826086956522,11354.545454545454,400.0
2021-12-21,14008.695652173914,11327.272727272728,400.0
2021-12-22,14019.565217391304,11300.0,400.0
2021-12-23,14030.434782608696,11272.727272727272,400.0
2021-12-24,14041.304347826086,11245.454545454546,400.0
2021-12-25,14052.173913043478,11218.181818181818,400.0
2021-12-26,14063.04347826087,11190.90909090909,400.0
2021-12-27,14073.91304347826,11163.636363636364,400.0
2021-12-28,14084.782608695652,11136.363636363636,400.0
2021-12-29,14095.652173913044,11109.09090909091,400.0
2021-12-30,14106.521739130434,11081.818181818182,400.0
2021-12-31,14117.391304347826,11054.545454545454,400.0
2022-01-01,14128.260869565218,11027.272727272728,427.0
2022-01-02,14139.130434782608,11000.0,427.0
2022-01-03,14150.0,11750.0,427.0
2022-01-04,14100.0,11700.0,427.0
2022-01-05,14066.666666666666,11700.0,427.0
2022-01-06,14033.333333333334,11700.0,427.0
2022-01-07,14000.0,11700.0,427.0
2022-01-08,14300.0,11700.0,427.0
2022-01-09,14800.0,11850.0,427.0
