date,harga_beras_kateng,harga_beras_nasional,lag_nasional_1,rolling_nasional_7,lag_nasional_3,rolling_nasional_14,rolling_global_30,lag_global_30,rolling_global_14,lag_global_7,global_price
2025-02-22,17530.0,1.8688780970463852,1.8940575530830739,1.9539509304638536,1.9445481715872706,2.053037151151587,-0.297838024302793,0.12578304805317156,-0.451396963198211,-0.44896656583861805,-0.4517387564279782
2025-02-23,17540.0,1.845155605750064,1.8703270226152398,1.9300894121187877,1.9208011597638426,2.02903046960691,-0.3170019899635975,0.12578304805317156,-0.451396963198211,-0.44896656583861805,-0.4517387564279782
2025-02-24,17550.0,1.8214331144537426,1.8465964921474054,1.9062278937737218,1.8970541479404146,2.005023788062233,-0.3361659556244029,0.12578304805317156,-0.451396963198211,-0.44896656583861805,-0.4517387564279782
2025-02-25,17560.0,1.7977106231574214,1.822865961679571,1.882366375428656,1.8733071361169866,1.9810171065175555,-0.3553299212852082,0.12578304805317156,-0.451396963198211,-0.44896656583861805,-0.4517387564279782
2025-02-26,17570.0,1.7739881318611,1.7991354312117367,1.85850485708359,1.8495601242935586,1.9570104249728786,-0.3744938869460143,0.12578304805317156,-0.451396963198211,-0.44896656583861805,-0.4517387564279782
2025-02-27,17580.0,1.7502656405647787,1.7754049007439023,1.8346433387385241,1.8258131124701307,1.9330037434282015,-0.393657852606818,0.12578304805317156,-0.451396963198211,-0.44896656583861805,-0.4517387564279782
2025-02-28,17590.0,1.7265431492684573,1.7516743702760682,1.8107818203934583,1.8020661006467027,1.9089970618835244,-0.4128218182676234,0.12578304805317156,-0.451396963198211,-0.44896656583861805,-0.4517387564279782
2025-03-01,17600.0,1.702820657972136,1.7279438398082339,1.7869203020483924,1.7783190888232747,1.8849903803388472,-0.43759474948769006,0.12578304805317156,-0.4633709238332253,-0.44896656583861805,-0.6188528244531148
2025-03-02,17450.0,1.702820657972136,1.7042133093403995,1.766467572038336,1.7545720769998467,1.862698461761647,-0.4623676807077543,0.12578304805317156,-0.4753448844682421,-0.44896656583861805,-0.6188528244531148
2025-03-03,17450.0,1.736709931252595,1.7042133093403995,1.7542933279847308,1.730825065176419,1.8445709675340343,-0.4679766462670141,-0.44132436312094236,-0.487318845103258,-0.44896656583861805,-0.6188528244531148
2025-03-04,17650.0,1.736709931252595,1.7381140671515913,1.745527872266135,1.707078053352991,1.8281582362738973,-0.4735856118262746,-0.44132436312094236,-0.49929280573827317,-0.44896656583861805,-0.6188528244531148
2025-03-05,17575.0,1.804488477813513,1.7381140671515913,1.7499106001254334,1.707078053352991,1.818359590745458,-0.47919457738553434,-0.44132436312094236,-0.5112667663732883,-0.44896656583861805,-0.6188528244531148
2025-03-06,17500.0,1.872267024374431,1.805915582773975,1.7674415115626239,1.741002355957888,1.8151750309487151,-0.4848035429447941,-0.44132436312094236,-0.523240727008305,-0.44896656583861805,-0.6188528244531148
2025-03-07,17500.0,2.041713390776726,1.873717098396359,1.8127296994420352,1.741002355957888,1.8259535410299979,-0.49041250850405466,-0.44132436312094236,-0.5352146876433195,-0.44896656583861805,-0.6188528244531148
2025-03-08,17450.0,2.1264365739778737,2.043220887452318,1.87360091971006,1.8088509611676822,1.8445709675340343,-0.49602147406331437,-0.44132436312094236,-0.5471886482783338,-0.6157680690415733,-0.6188528244531148
2025-03-09,17400.0,2.211159757179021,2.1279727819802976,1.94664638403169,1.8766995663774764,1.8710273104608206,-0.5016304396225749,-0.44132436312094236,-0.5591626089133506,-0.6157680690415733,-0.6188528244531148
2025-03-10,17402.083333333332,2.1899789613787344,2.2127246765082775,2.011778589718478,2.0463210794019617,1.897667377991266,-0.5072394051818346,-0.44132436312094236,-0.5711365695483664,-0.6157680690415733,-0.6188528244531148
2025-03-11,17404.166666666668,2.1687981655784476,2.1915367028762827,2.0738672343918627,2.1311318359142044,1.9244911701253697,-0.5128483707410945,-0.44132436312094236,-0.5831105301833817,-0.6157680690415733,-0.6188528244531148
2025-03-12,17406.25,2.1476173697781604,2.170348729244288,2.1231729228089637,2.215942592426447,1.9514986868631317,-0.518457336300355,-0.44132436312094236,-0.5950844908183968,-0.6157680690415733,-0.6188528244531148
2025-03-13,17408.333333333332,2.1264365739778737,2.1491607556122925,2.159695654969778,2.1947399032983865,1.9786899282045514,-0.5240663018596147,-0.44132436312094236,-0.6070584514534135,-0.6157680690415733,-0.6188528244531148
2025-03-14,17410.416666666668,2.105255778177587,2.1279727819802976,2.168826338009982,2.173537214170326,2.0060648941496293,-0.5296752674188753,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-15,17412.5,2.0840749823773,2.1067848083483027,2.16273921598318,2.152334525042265,2.0336235846983666,-0.535284232978135,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-16,17414.583333333332,2.062894186577013,2.085596834716308,2.141434288889371,2.1311318359142044,2.0596512368832833,-0.5408931985373947,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-17,17416.666666666668,2.041713390776726,2.064408861084313,2.1201293617955623,2.109929146786144,2.0816981893222724,-0.5465021640966553,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-18,17418.75,2.0205325949764394,2.043220887452318,2.0988244347017533,2.0887264576580833,2.102214103397444,-0.552111129655915,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-19,17420.833333333332,1.9993517991761525,2.0220329138203232,2.0775195076079447,2.0675237685300223,2.1162996563445753,-0.5577200952151756,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-20,17422.916666666668,1.9781710033758655,2.0008449401883284,2.0562145805141356,2.0463210794019617,2.1239548481636685,-0.5633290607744353,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-21,17425.0,1.9569902075755787,1.9796569665563335,2.034909653420327,2.025118390273901,2.1178306947083945,-0.5689380263336951,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-22,17427.083333333332,1.9358094117752918,1.9584689929243384,2.013604726326518,2.0039157011458406,2.104051349434026,-0.5745469918929557,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-23,17429.166666666668,1.914628615975005,1.9372810192923435,1.9922997992327094,1.9827130120177798,2.082616812340564,-0.5801559574522154,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-24,17431.25,1.893447820174718,1.9160930456603487,1.9709948721389006,1.961510322889719,2.0611822752471025,-0.5857649230114759,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-25,17433.333333333332,1.872267024374431,1.8949050720283538,1.9496899450450917,1.9403076337616585,2.0397477381536406,-0.5913738885707357,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-26,17435.416666666668,1.8510862285741443,1.873717098396359,1.928385017951283,1.9191049446335977,2.0183132010601788,-0.5969828541299954,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-27,17437.5,1.8299054327738573,1.8525291247643638,1.907080090857474,1.897902255505537,1.9968786639667173,-0.6025918196892559,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-28,17439.583333333332,1.8087246369735706,1.831341151132369,1.8857751637636653,1.8766995663774764,1.9754441268732554,-0.6082007852485157,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-29,17441.666666666668,1.7875438411732836,1.810153177500374,1.8644702366698565,1.8554968772494156,1.9540095897797938,-0.6138097508077762,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-30,17443.75,1.7663630453729966,1.7889652038683792,1.8431653095760476,1.834294188121355,1.9325750526863321,-0.6194187163670359,-0.44132436312094236,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-03-31,17445.833333333332,1.7451822495727098,1.7677772302363843,1.8218603824822388,1.8130914989932942,1.9111405155928705,-0.6194187163670359,-0.6073070200499514,-0.6190324120884279,-0.6157680690415733,-0.6188528244531148
2025-04-01,17447.916666666668,1.7240014537724229,1.7465892566043895,1.8005554553884302,1.7918888098652337,1.8897059784994088,-0.6240928543330858,-0.6073070200499514,-0.6290107126176075,-0.6157680690415733,-0.7581145478073953
2025-04-02,17450.0,1.702820657972136,1.7254012829723944,1.7792505282946214,1.770686120737173,1.8682714414059471,-0.6287669922991364,-0.6073070200499514,-0.6389890131467872,-0.6157680690415733,-0.7581145478073953
2025-04-03,17450.0,1.736709931252595,1.7042133093403995,1.765858859835656,1.7494834316091123,1.8508176040584134,-0.6334411302651861,-0.6073070200499514,-0.6489673136759677,-0.6157680690415733,-0.7581145478073953
2025-04-04,17650.0,1.736709931252595,1.7381140671515913,1.755510752390091,1.7282807424810516,1.8348948050747,-0.6381152682312359,-0.6073070200499514,-0.6589456142051451,-0.6157680690415733,-0.7581145478073953
2025-04-05,17575.0,1.804488477813513,1.7381140671515913,1.7579456012008126,1.707078053352991,1.8254023672190236,-0.6427894061972865,-0.6073070200499514,-0.6689239147343263,-0.6157680690415733,-0.7581145478073953
2025-04-06,17500.0,1.872267024374431,1.805915582773975,1.7731634062678192,1.741002355957888,1.822340290491386,-0.6474635441633363,-0.6073070200499514,-0.6789022152635052,-0.6157680690415733,-0.7581145478073953
